-1.9409,-8.6848
3.744,0.79459
0.80355,2.8473
-2.8957,-12.0205
3.5912,3.0129
3.931,1.8541
3.7818,-2.8846
2.2517,-5.1422
3.5761,9.7753
-1.3274,9.498
1.4507,8.7903
3.8905,-2.1521
4.7965,6.9859
3.5982,7.1307
4.7285,2.1065
-3.9698,3.6812
-3.5985,-13.6593
-1.2576,1.5892
-2.4458,1.6285
-0.062025,6.1975
0.12326,8.9848
-2.564,-1.7051
2.6562,10.7044
3.7982,10.423
0.6212,3.6771
1.3087,4.9228
5.7227,5.8312
1.9818,9.2621
2.888,0.44696
-2.1668,1.5933
1.8799,2.4707
-0.1269,-1.1505
-1.4106,-7.108
-0.28696,3.1784
3.5189,6.332
-3.3924,3.3564
-6.0598,9.2952
2.9856,7.2673
0.16358,-3.3584
-6.1632,8.7096
0.3798,0.7098
2.8672,10.0008
-1.3389,1.552
0.15423,0.11794
5.7353,5.2808
-1.1306,1.8458
3.9232,-3.2467
1.0284,9.767
4.2188,6.8162
5.0185,8.5978
-2.8619,4.5193
2.6648,10.754
-0.4294,-0.14693
2.031,1.852
-2.3147,3.6668
-2.3675,-0.43663
3.8244,-3.1081
3.7635,2.7811
-3.518,2.8763
-7.0421,9.2
-2.0042,-9.3676
-3.5637,-8.3827
0.0031201,-4.0061
0.96414,5.616
4.2134,-2.806
4.2475,1.4816
-0.2951,9.0489
-0.21888,-2.2038
-2.1234,1.1815
0.93584,8.8855
1.5268,-5.5871
-1.6386,3.3584
-3.2692,-12.7406
1.105,7.4432
-1.6001,-9.5828
0.50225,0.65388
-3.1423,-13.0365
-0.60975,-4.002
4.0405,0.51524
-2.4835,-7.4494
-3.3863,-12.9889
-1.6677,-7.1535
1.8967,-2.5163
2.5698,-4.4076
0.75108,1.9161
0.9297,-3.7971
6.0919,2.9673
5.8782,5.9409
-1.4427,3.2922
3.6244,1.4609
1.0117,0.9022
5.2423,11.0272
2.4527,2.9653
0.049175,6.1437
0.3798,0.7098
-1.9116,-6.1603
3.7321,-3.884
-3.0193,1.7775
5.6084,10.3009
-2.3277,1.4381
0.2952,4.8856
4.4072,-0.070365
0.77765,5.9781
-2.5084,-0.22763
1.1317,3.9647
-1.4217,11.6542
4.3846,-4.8794
